id,token_id,title,description,new_categories,category_count,primary_category
129,258,258 perks,"i visit coinbase wallet often to find new things to do onchain. at some point, i'd like to see less emphasis on what i can mint and more on how to use what i've minted.",art,1,art
130,257,257 mint prompt,mint prompts instead of images. ,art,1,art
131,256,256 eip 7702,what is EIP-7702? wrong answers only.,,0,tools
132,255,255 needle mover,wallet pins the top winner/loser so you can conveniently see what’s moving the needle,,0,tools
133,254,254 ask your wallet,chat with your wallet,messaging,1,messaging
134,253,253 swap everything,swap all assets on a selected chain,trading,1,trading
135,252,252 wallet app clip,app clips for message signatures to eliminate app switching,messaging,1,messaging
136,251,251 meta orion x pump.fun,,,0,tools
137,250,250 ultraminimal,i have no idea if this would work but i'm craving an ultraminimal wallet ui,wallet,1,wallet
138,249,249 bulk swap,,trading,1,trading
139,248,248 swap actions,add actions to your swaps,trading,1,trading
140,247,247 wallet in wallet,,,0,tools
141,246,246 crypto paywall,"crypto paywalls would streamline payments for writers.

it removes the friction of account creation.

one-time payment options are quicker and more direct, giving access to readers that don't want to commit and paying writers more per piece.

writers also benefit because it reduces transaction fees and opens up global access. ",gating|payments,2,payments
142,245,245 lock screen txn,complete transactions from the lock screen,wallet,1,wallet
143,244,244 betting market poll,option to create a betting market in a twitter poll,trading,1,trading
144,243,243 de-surance,how long until smart contracts let us buy insurance products from individuals?,payments,1,payments
145,242,242 blink listing,"phantom option to list an nft as a blink.

share the link to twitter where someone can directly purchase without navigating to an nft marketplace.",payments|trading,2,payments
146,241,241 tokenized subscription,a tokenized netflix subscription that you can share with your household instead of paying more to add people,social,1,social
147,240,240 polymarket leaderboard,see the biggest winners and losers on polymarket,,0,tools
148,239,239 camera gating,google meet option to token gate your camera,gating,1,gating
149,238,238 minterest,"mint anything, anywhere",art,1,art
150,237,237 smart contract agent,"smart contracts outlive their front-ends. and when they do, ai agents should be able help so we don't make mistakes.",agents,1,agents
151,236,236 restaurant tab,"few things are more inefficient than the time between finishing a meal and paying the bill.

if you could check in to a restaurant and open a tab with your wallet, you could pay and leave whenever you want.

when an order is placed, the funds move to escrow. 

if you walk out and forget to close, a smart contract executes a transfer to the restaurant's address after a reasonable amount of time.

if you send something back to the kitchen, the restaurant can set a split for the item to refund from the escrow balance.",payments,1,payments
152,235,235 resy.tech,"now that friend.tech has renounced the smart contract, someone should fork it for restaurant reservations.",,0,tools
153,234,234 chain checker,"get paid when someone tries to re-mint your content.

yesterday i minted a concept that featured someone else's zora content.

i had intended to split mint rewards, but forgot to add them before minting.

something like this would've been helpful.",art|rewards,2,art
154,233,233 image and likeness,"mint your image and likeness, get paid when it's remixed.

which makes me wonder:

what if the intersection of crypto and ai has been modeling all along?",agents|art,2,agents
155,232,232 teleporting buttons,"""blinks teleport buttons across the internet""",,0,tools
156,231,231 add music,add music to your mint and split rewards with the artist,art|rewards,2,art
157,230,230 for you,"there is absolutely no reason why every art marketplace shouldn't have ""for you"" recommendations based on the things you already have in your wallet",art,1,art
158,229,229 collection match,"the role of ai in art marketplaces isn't just to give context on the art, the artist, or the collection.

it's to interpret the taste profile of the collection in the wallet i've connected and give tailored context to how a piece fits in with what i've already collected.",agents|art|identity,3,agents
159,228,228 founder mode,you can only trade coins below $1M market cap when Founder Mode is on,trading,1,trading
160,227,227 blink broker,"an nft listing blink, but now that action chaining is available, you can program automatic splits to give the person that shares the blink a percent of the transaction.

this opens up new possibilities and markets to incentivize people sharing blinks.

it might not be your listing, but if you're persuasive enough, you can permissionlessly earn a cut based on your distribution.",social|trading,2,trading
161,226,226 mute price notifications,option to mute price notifications at a specific price for a specific token,gating|trading,2,trading
162,225,225 friend wins,get notified when your friend gets a big win,,0,tools
163,224,224 coin filter,filter your twitter dms for coins you're holding,agents|messaging,2,agents
164,223,223 friend reviews only,filter restaurant reviews for farcaster friends only,agents|social,2,agents
165,222,222 dynamic island connect,dynamic island is designed for apps running in the background. can't we use it for wallet actions without app switching?,,0,tools
166,221,221 derivative notification,the best design is one that already knows what you want to do.,,0,tools
167,220,220 sport mode,what do you think an onchain sport mode does?,,0,tools
168,219,219 streaming energy bill,"i was caught off guard with a high energy bill. if you could stream payments onchain, it would be easier to manage energy usage.",payments,1,payments
169,218,218 portable messages,messaging protocols would be much better if they could meet us in the apps we already use,messaging,1,messaging
170,217,217 instant connect,dreaming of the day i connect without app switching,wallet,1,wallet
171,216,216 post and mint blink,"we've explored a lot of use cases to consume using blinks, but what if we could use blinks to create, too?",art,1,art
172,215,215 blink hover preview,extensions should preview transaction results when hovering over a solana blink element,wallet,1,wallet
173,214,214 renew anywhere,you should be able to get ens expiration alerts anywhere you connect your wallet.,identity,1,identity
174,213,213 share sheet connect,connect from the share sheet,,0,tools
175,212,212 crypto jukebox,,,0,tools
176,211,211 solarm,burn funds if you don't wake up in time,,0,tools
177,210,210 pay with higher,apple is set to open their nfc payment to third party developers which means we're closer to this reality than ever.,payments,1,payments
178,209,209 blink alert,"get an opt in alert from your wallet when you're on a webpage that has blink link previews injected into the front-end.

instead of opting in to blinks in the wallet, you should have the option to do it on a session basis.",,0,tools
179,208,208 direct ticketing,"there's a world powered by crypto where artists and event organizers can sell tickets directly to their fanbase—in a social feed, in an email, or any other channel used for direct communication.

embedding programmable transactions into a URL (in this case, using solana blinks), a fan can purchase directly in an email, triggering a wallet confirmation.

you could also program the blink to whitelist fans that meet a certain criteria (i.e. collected a special edition thing).

it doesn't currently exist, but i imagine if adoption of something like blinks increases, wallet interfaces will form around it.

you could select the city of the artist's tour, number of tix, etc from the wallet (present day, we construct transactions in an app or website).

and on the other side of the equation, the fan has full control in this reality.

they're not beholden to ticket platforms, fees, or closed network marketplaces.

they can transfer or resell tickets as they please, and if royalties are enforced, the artist benefits, not the intermediaries.

crypto doesn't enable better ticketing platforms, it eliminates the need for them entirely.",gating|invest|payments|social,4,payments
180,207,207 bump for context,see what tokens and onchain activity you have in common when you bump phones,,0,tools
181,206,206 chain migration,copy data and tokens to other chains,,0,tools
182,205,205 superchain usdc,"select and bundle usdc across multiple chains when sending money.

there's a lot of jargon around the idea of a superchain, but this is one example of a use case chain interoperability unlocks.",,0,tools
183,204,204 platformless tv,what's possible when our streaming content is tokenized?,,0,tools
184,203,203 video attachment,attach a video message to any blockchain transaction,messaging,1,messaging
185,202,202 cmd shift click,cmd + shift + u is cool but what if you could cmd + shift + click any text on the internet to open the swap?,trading,1,trading
186,201,201 voice signature,"if we can authenticate blockchain signatures with face id, then we should able to do the same with voice.",,0,tools
187,200,200 edition balance,"now that zora lets you trade editions like memecoins, i'd like to see them in my wallet's token balances",gating|trading,2,trading
188,199,199 pnl,someone should propose a new nft standard that displays the holder's pnl in the metadata,,0,tools
189,198,198 coinbase marketplace,"when you run out of cash to onramp, sell your stuff for crypto.",payments,1,payments
190,196,196 proof of fitness,a chain that forms blocks when the validator closes their apple rings,,0,tools
191,195,195 salary,option to receive your salary in USDC and automatically earn yield,invest,1,invest
192,194,194 copy trade blink,phantom option to share your swap as a blink so others can copy trade.,trading,1,trading
193,193,193 venmoon,offramp providers should facilitate payments to web2 payment networks,payments,1,payments
194,192,192 blink store,the internet's expansion pack,,0,tools
195,191,191 social chart,tweets overlayed on a token price chart,gating|trading,2,trading
196,190,190 rent a citizenship,"""The first warm and developed country that has an easy and transparent process for renting citizenship is going to make a killing.""

- naval, 6/23/2016",,0,tools
197,189,189 flip a bitcoin,flip a coin when you're unsure about selling,,0,tools
198,188,188 smart chores,receive your allowance when every family member attests you've finished your chores.,,0,tools
199,187,187 shopping concierge,"we aren't talking enough about the code injection enabled by solana blinks.

you can add the chain to any web2 app.

imagine if every product hyperlink fetched by perplexity was injected with a transaction, letting you check out directly without leaving the app.

blinks let you literally turn any LLM into a shopping concierge... *permissionlessly* 🤯",agents,1,agents
200,186,186 unicart,"the uniswap extension as a sidebar is thought provoking.

in it's current state, it makes interacting with the chain while using apps less obstructive. for example, if you want to mint this design everyday, you mint and watch the animation without any visual obstruction.

but it also makes me think about the future of a wallet extension's form factor. 

the sidebar reminds me of a shopping cart, and i've always loved the idea of a universal shopping cart powered by crypto.

imagine adding items from multiple websites, paying with any token, and the shopping cart can make suggestions based on what's in your cart across any website on the internet.",art|gating|trading,3,art
201,185,185 bet balance,"follow up from yesterday, polymarket can also do a better job of surfacing your current position in a bet and provide a quick affordance to sell.",social,1,social
202,184,184 polymarket buttons,"the numbers on polymarket's buttons have always been confusing to me.

it presents the price per outcome you want to bet, which is the least useful information, imho.

i always feel embarrassed by how much time it takes to realize that the price per bet corresponds to the percent of that outcome (i.e. 64¢ means 64% odds).

i also have no desire to think about betting in terms of ""shares."" i just want to bet $100 on yes or no and quickly determine how much i'd make if i win.

which of these button patterns accomplishes that?",trading,1,trading
203,183,183 smart date,incentivize better dating app outcomes by staking funds into a smart contract on match and then refunding when you can prove you've met.,invest,1,invest
204,182,182 outage,,,0,tools
205,181,181 growth chart,spare your walls. track your child's growth onchain.,trading,1,trading
206,180,180 de-comments,a decentralized network for sticky comments anywhere on the web,messaging,1,messaging
207,179,179 vampire attack,burn a competitor nft for a discount,,0,tools
208,178,178 group chat betting,"we've seen solana blinks implemented in the feed, but there's also an exciting design space for DM and group chat use cases.

a private betting market could be a great place to start.",messaging|privacy|social|trading,4,trading
209,177,177 polymarket 8 ball,an 8 ball that gives you answers based on polymarket odds,,0,tools
210,176,176 crypto shazam,shazam but for token vibe,gating,1,gating
211,175,175 image search,"search the chain for similar images, discover its source, or explore related content.",social,1,social
212,174,174 polymarket deposits,redesigned betting flow to make deposits as simple as possible,,0,tools
213,173,173 smart contract work,founders will appreciate this,,0,tools
214,172,172 stack to split,split the bill by stacking devices,,0,tools
215,171,171 handshake,,,0,tools
216,170,170 donation blink,a solana blink to donate memecoins to fundraisers without leaving the feed,social,1,social
217,169,169 reveal,hard press to reveal an nft's utility,,0,tools
218,168,168 wallpaper,wallpapers are the new rolexes,,0,tools
219,167,167 chaincard,"postcards are great. you can pin them to your fridge or add to a scrapbook. 

you don’t have that kind of creative freedom with digital postcards. but if they’re onchain, you might.

you can take it with you anywhere on the internet to display and remix.",identity,1,identity
220,166,166 curator score,"instead of onchain tipping, use attestations to accrue an onchain rating (i.e. curator score)",,0,tools
221,165,165 dating app,a dating app that builds a profile based on holdings,identity,1,identity
222,164,164 calculator,"met someone last night who was like 

""oh you're the guy that makes things like 'when i open my calculator app i should be able to connect my wallet!'""",,0,tools
223,163,163 infinite mint,what if you had to get to the end of an infinite canvas piece to mint it?,art,1,art
224,162,162 marketplace listings,"tokenizing things doesn’t just make them easier to resell, it makes them easier to resell in more places.

list once, post everywhere.",,0,tools
225,161,161 bank permissions,there's gotta be a way to abstract on/offramping so you can just connect smart wallets and spend directly from your bank and when that becomes real you'll be able to control permissions from your bank app instead of your wallet.,privacy,1,privacy
226,160,160 bank smart wallet,what if you could create a smart wallet from your mercury bank account and you could spend your fiat onchain (abstracting away on and offramping)?,,0,tools
227,159,159 web3 social,"“web3 social” is very misunderstood. 

it's not about creating a new social platform, it’s about making every app a social platform.",,0,tools
228,158,158 broadcast signatures,onchain notifications makes it really easy to discover what your friends are minting. i wish the same was true for apps my friends are using so i can find new apps to use.,art|social,2,art
229,157,157 leases,tokenized rental agreements so you can transfer and resell ,,0,tools
230,156,156 web2 airdrop,"which web2 company will be the first to airdrop their earliest, most loyal and most active users?",rewards,1,rewards
231,155,155 smart limits,gm. i had a lot of fun last night. maybe a little too much fun. smart wallets fixes this.,,0,tools
232,154,154 data ownership,we won't be able to have the kind of life-changing experience with LLMs until we can truly absolutely positively own our data online,,0,tools
233,153,153 pump dot calm,what if pump dot fun was calm?,,0,tools
234,152,152 train-to-earn,"let's assume we get to the point where most of our browsing data, purchase history, media we own and other personal information is onchain (privately, of course).

what if you could stake your data to train AI models and earn a revshare?",agents|invest|payments,3,payments
235,151,151 airdrop tip,airdrop culture is getting out of hand,rewards,1,rewards
236,150,150 merchant tumbler,"now that the sec has backed off ethereum, can we bring back tumblers for registered businesses so that i can buy my coffee with usdc without you all tracking my whereabouts?",payments|privacy,2,payments
237,149,149 holder nearby,what if you can get alerts when holders are nearby?,,0,tools
238,148,148 rent this song,"interoperable music makes things interesting. yesterday i explored what it might look like to play your music nfts in any environment you enter, like in your uber ride.

but what would it take for this to be economically feasible for artists?

it might not make sense for an artist to sell cheap open editions that allow permanent streaming rights.

so maybe there's a way to time box use while maintaining a permanent record of ownership (for social purposes).

i know very little about the music industry, so this could be completely off base, but i wonder how realistic it is for an artist to rent their songs for non-commercial use using subscription nfts (""non-commercial"" is the key word here).

that could ensure the artist gets paid directly while giving you the ability to play their song on any app and across any website.

it could open up an entire new ecosystem of streaming players and streaming use cases:

+ play a song on your profile
+ use a song for your video post
+ use a song as an input for ai music generator

etc.",agents|art|identity|privacy,4,agents
239,147,147 stream anywhere,"the thing about tokenizing and owning digital things, any app can take advantage of it.

for instance, uber could let you play music nfts during your ride without needing spotify's permission or paying for their api.

it's your music. you can play it wherever you want.

of course, at the point in time this becomes a reality, we won't be calling them ""music nfts"" but i'm using the term we know now to make a point.

and obviously a lot needs to change in the music industry before this becomes real. 

someone still needs to be paid when a song is played. something i'll explore tomorrow.",privacy|social,2,social
240,146,146 fan reward,"this is why i love crypto so much.

fred again is playing his first stadium show, the biggest of his career after his meteoric rise. 

before the show, he personally tracked down the 150 people that attended in 2021 before he blew up and invited them to a secret listening party.

if ticketing was onchain, fred would always know who his early fans were and which shows they attended without needing to rely on ticketmaster, dice, etc.

at its core, onchain ticketing is basically a public database of attendance that no single company can own or gate keep.

it’s not always about coins and their prices.

sure, if you had a ticket to one of fred’s early shows you could probably sell it for a lot of money.

but…

not only would fred be able to immediately identify you as an early fan, but he’d also be able to automatically send an invitation to one of these secret shows.

he could program conditions around the invitation too. for example, he could say every person that attended my first LA show will receive a NON-TRANSFERABLE ticket to my secret listening party (as a way to combat toxic resellers). 

he could perform in any city and program merch sales so that anyone that attended a previous show gets free merch.

you can probably imagine an infinite number of scenarios. there are so many creative possibilities for artists to express their gratitude for early fans.

and on the flip side, it gives fans the opportunity to express their gratitude too. 

i personally traveled to multiple cities just to see fred perform on his 2022 tour. 

i wish i had a way to prove that and signal my fandom, even if it had no financial upside.

i haven’t thought too deeply about why exactly but it feels good to make my enthusiasm for his music known.

his music has powered a lot of memories that mean a lot to me.

we’re a ways away from this happening, but i hope someday he’ll continue creatively rewarding his early fans. and i hope im one of them.

and i hope its tokenized so i can brag about it.",gating|rewards|social,3,social
241,145,145 gift ideas,what if you could use onchain history to suggest gift ideas?,,0,tools
242,144,144 smart wallet paymaster,a mobile browser extension that allows you to make your EOA the paymaster for any smart wallet you've created.,,0,tools
243,143,143 connect to EOA,"smart wallets can fragment your onchain identity.

what if there was a way to associate a smart wallet with your EOA so you can spend existing balances without moving funds around.",identity,1,identity
244,142,142 mint hunter,,art,1,art
245,141,141 siri app intents,"siri/app intents can stitch together web2 and web3

examples:

+ create trade conditions based on news
+ send usdc to a contact from a calendar event
+ mint an image from the photos app
+ send cal invites to holders of a token
+ purchase something when exercise rings are closed",art|gating|payments|trading,4,art
246,140,140 mattress,"money in your mattress > money under your mattress

i wonder what other obscure objects can serve as hardware wallets.",,0,tools
247,139,139 vinyl records,"collecting vinyl records have become a deliberate act of preserving music culture.

it's hard to imagine a future where record collecting doesn't evolve into music nfts.

some thoughts 🧵

record collecting revolves as much around displaying as it does creating.

the thrill of the hunt and the art of crate digging (searching for obscure artifacts, often by thrifting) is a core part of the experience.

crate digging is about discovering rare and obscure records that few others have.

It's about uncovering hidden gems through hours of searching.

and everyone loves a good hidden gem. why?

first, it's way to demonstrate superior knowledge, taste, and status through the rarity and eclecticism of their finds.

collecting can often be a status game.

but hidden gems also have financial value.

if you're reading this, you've likely collected an nft, so i don't need to explain the social and financial upside of owning  rare/coveted artifacts.

*especially* if you collect something from an artist before they become more popular.

music nfts not only add new possibilities to the form factor of collecting, but they also add new possibilities to the way they can be collected.

it might not be the dominant way we discover and consume music, but there will inevitably be   limited releases of music at some point in the future via music nfts.

imagine exclusive tracks:

+ airdropped to top streamers
+ claimed at a live show
+ sold as a limited-edition release

and the only way to hear the track/album is by owning it.

the entire meatspace becomes a giant crate to dig, not just secondhand record stores.

learning musical history and connecting to a genre's culture becomes more fun and spontaneous.

and if that ever happens, there's bound to be  an ecosystem of products that form around these new music collectibles: both hardware and software.

things we display in our homes and personal spaces, where we most express our taste and identity.

the interfaces will focus more on displaying the historical provenance of a collectible than on the playback experience.

the core part of the ux is the story behind the track, and the ease of displaying and sharing with others.",art|identity|rewards,3,art
